Model,h=1d,h=7d,h=14d,h=30d,h=60d,h=90d,h=180d,h=360d
Naive,18.57,60.66,107.8,123.14,123.16,122.98,120.52,59.34
WD,130.21,102.89,110.41,127.16,129.13,129.85,123.39,57.81
SARIMA,17.94,62.4,63.26,100.12,138.57,150.75,212.47,407.56
SARIMAX,20.1,58.56,58.89,94.05,121.12,126.79,161.22,234.06
ElasticNet-Unconstrained,12.05,15.78,13.34,18.42,17.8,15.79,13.52,10.48
ElasticNet-Constrained,8.57,11.94,10.14,13.49,13.18,11.87,10.05,8.75
